Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.30923695,27.30923695,27.68595041,27.68595041,27.30923695,27.71084337,27.71084337,27.71084337,27.71084337,27.71084337,27.71084337,27.71084337,27.71084337,,27.86885246,27.01612903
Angola,AGO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.545454545,15.45454545,15.45454545,15.45454545,15.45454545,15.45454545,15.45454545,15,15,15,15,37.27272727,38.63636364,38.63636364,38.18181818,34.09090909,34.09090909,36.81818182,36.81818182,36.81818182,30.45454545,30.45454545,30,30
Albania,ALB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.161290323,5.161290323,5.714285714,5.714285714,5.714285714,6.428571429,7.142857143,7.142857143,7.142857143,7.142857143,16.42857143,16.42857143,15.71428571,15.71428571,17.85714286,20,20.71428571,22.85714286,27.85714286,27.85714286,29.50819672,29.50819672
Andorra,AND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.142857143,7.142857143,7.142857143,7.142857143,14.28571429,14.28571429,14.28571429,14.28571429,28.57142857,28.57142857,28.57142857,25,35.71428571,35.71428571,50,50,50,50,39.28571429,32.14285714,32.14285714,32.14285714,46.42857143,46.42857143
Arab World,ARB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.747161241,3.457446809,3.616775683,3.770681031,4.621264767,6.130931763,6.048109966,6.693043192,7.036766496,9.349593496,9.75376524,9.801577815,9.902309059,11.91967178,11.32850242,14.87204249,17.3693086,17.79340184,18.77984085,19.27561399,18.88402121,19.06077348,17.56653992,17.81901373
United Arab Emirates,ARE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,50,50
Argentina,ARG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.62645914,27.62645914,,26.45914397,,30.73929961,30.73929961,33.7254902,36.18677043,35.01945525,40,40,38.52140078,38.52140078,37.3540856,37.3540856,36.57587549,36.57587549,,35.79766537,38.13229572,38.91050584,40.15748031,40.85603113
Armenia,ARM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.315789474,6.315789474,3.053435115,3.053435115,3.053435115,3.053435115,4.580152672,5.34351145,5.34351145,5.34351145,9.160305344,8.396946565,9.160305344,9.160305344,8.396946565,10.6870229,10.6870229,10.6870229,10.6870229,10.6870229,18.0952381,18.0952381,23.48484848,23.48484848
American Samoa,ASM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.263157895,5.263157895,,5.263157895,5.263157895,5.263157895,5.263157895,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111
Australia,AUS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.54054054,15.54054054,22.44897959,22.97297297,,25.33333333,25.33333333,24.66666667,24.66666667,24.66666667,26.66666667,26.66666667,27.33333333,24.66666667,24.66666667,24.66666667,26,26,26.66666667,28.66666667,28.66666667,28.66666667,30.46357616,30.46357616
Austria,AUT,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2295082,26.2295082,,26.77595628,26.77595628,,33.87978142,33.87978142,33.87978142,32.24043716,32.78688525,27.32240437,27.86885246,27.86885246,27.86885246,27.86885246,33.33333333,32.24043716,30.6010929,30.6010929,34.42622951,34.42622951,39.3442623,39.3442623
Azerbaijan,AZE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,,10.48387097,10.48387097,10.48387097,10.48387097,13.04347826,11.29032258,11.38211382,11.38211382,11.38211382,16,16,16,15.57377049,15.57377049,16.93548387,16.8,16.8,16.8,16.80672269,17.3553719
Burundi,BDI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.86440678,5.982905983,14.40677966,14.40677966,18.43575419,18.43575419,18.43575419,30.50847458,30.50847458,30.50847458,30.50847458,31.3559322,32.0754717,30.47619048,30.47619048,30.47619048,30.47619048,36.36363636,36.36363636,36.36363636,36.36363636,36.36363636,38.21138211
Belgium,BEL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66666667,12.66666667,23.33333333,23.33333333,23.33333333,23.33333333,35.33333333,34.66666667,34.66666667,34.66666667,35.33333333,35.33333333,38,39.33333333,38,38,38,39.33333333,39.33333333,39.33333333,38,38,42,40.66666667
Benin,BEN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.228915663,7.228915663,6.024096386,6.024096386,6.024096386,6.024096386,6.024096386,7.228915663,7.228915663,7.228915663,10.84337349,10.84337349,10.84337349,10.84337349,8.43373494,8.43373494,8.43373494,8.43373494,7.228915663,7.228915663,7.228915663,7.228915663,7.228915663,7.228915663
Burkina Faso,BFA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.009009009,8.108108108,8.108108108,8.108108108,8.108108108,11.71171171,11.71171171,11.71171171,11.71171171,11.71171171,15.31531532,15.31531532,15.31531532,15.31531532,15.31531532,15.7480315,15.7480315,,9.448818898,9.448818898,11.02362205,11.02362205,13.38582677,13.38582677
Bangladesh,BGD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.090909091,9.090909091,9.090909091,9.090909091,,2,2,2,14.7826087,15.07246377,,6.333333333,18.55072464,18.55072464,19.71428571,19.71428571,19.71428571,19.82758621,20,20,20.28571429,20.28571429,20.63037249,20.91690544
Bulgaria,BGR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.83333333,10.83333333,10.83333333,10.83333333,26.25,26.25,26.25,26.25,22.08333333,22.08333333,21.66666667,21.66666667,20.83333333,20.83333333,20.83333333,22.91666667,24.58333333,20,20.41666667,20.41666667,23.75,23.75,25.83333333,26.66666667
Bahrain,BHR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2.5,2.5,2.5,2.5,2.5,10,10,10,7.5,7.5,7.5,7.5,15,15,15
"Bahamas, The",BHS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,,20,20,20,20,12.19512195,12.19512195,12.19512195,12.19512195,12.19512195,13.15789474,13.15789474,13.15789474,13.15789474,13.15789474,12.82051282,12.82051282,12.82051282,12.82051282
Bosnia and Herzegovina,BIH,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.142857143,,16.66666667,16.66666667,16.66666667,14.28571429,11.9047619,11.9047619,19.04761905,16.66666667,21.42857143,21.42857143,21.42857143,21.42857143,21.42857143,21.42857143,21.42857143,21.42857143,21.42857143,21.42857143
Belarus,BLR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.30927835,10.30927835,10.30927835,29.35779817,29.09090909,29.09090909,29.09090909,31.81818182,31.81818182,31.81818182,31.81818182,26.60550459,26.60550459,26.60550459,27.27272727,34.54545455,34.54545455,34.54545455,40,40
Belize,BLZ,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.448275862,3.448275862,6.896551724,6.896551724,6.896551724,6.896551724,3.333333333,6.666666667,6.666666667,6.666666667,3.333333333,0,0,0,0,3.125,3.125,3.125,3.125,3.125,9.375,9.375,9.375,9.375
Bermuda,BMU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
